T,X,Y
0,51.91219844670906,0
0,65.7719084614582,10
0,73.87964167214498,1
1,43.709338883205206,23
0,69.36141873930326,11
0,61.77554574620206,2
0,72.62447811869082,9
1,87.78410952788954,17
0,61.28188156426157,4
1,52.61676432202083,15
0,87.9418310696312,7
1,69.40504567447087,6
1,43.64954954330756,22
1,77.72559787849129,12
0,73.19994029727052,3
0,50.13030301934995,10
1,68.4323641100942,11
1,76.02056395142665,24
1,51.01671496616843,21
0,71.09174398732311,7
1,65.46980934243449,23
1,73.25043533712412,24
0,84.0386739606588,5
1,66.84043324744586,7
0,64.04469170153344,0
1,81.82130047457773,13
1,74.53582651528772,20
0,96.62202465156537,10
1,62.776213690654416,16
1,51.54461476505165,26
1,90.55849360581784,15
1,68.77101687972949,20
0,64.06154897620335,2
0,71.55685199876162,4
1,93.36131637361495,17
1,49.329994598128536,21
1,31.08617093719154,5
0,52.901452481266794,14
0,52.26460760856498,2
1,80.09442032301982,21
0,61.20505791611856,6
0,69.98744779297174,0
0,64.23128125429218,3
0,48.672477211670596,17
0,82.11341981093852,6
1,71.78417792888584,14
1,87.96905771542036,8
0,65.60105569782102,1
0,48.995869350792695,13
0,74.53461776952656,15
0,86.99898749449764,17
1,70.0051589520189,19
1,51.45786129498269,14
0,63.844127476680555,1
1,85.77201634705087,23
1,87.6490544698721,13
0,54.606672333955494,0
0,60.33575082968335,5
1,36.61405985164595,15
0,67.55154683391322,12
1,69.28094934865791,15
0,118.38531283372608,14
0,68.41983168396719,11
0,91.94615235248156,8
1,71.76920870799836,4
1,60.814313664810925,5
1,80.13872962518766,16
0,91.25198277719488,10
1,52.46074752439991,24
0,76.16525446310384,-1
0,84.49215342032201,10
1,52.852861949025026,19
1,72.71464561789206,21
0,70.35184447502999,8
1,77.66933593204199,15
0,99.34362401321127,6
1,60.73764955612919,18
0,60.16121540620571,12
0,80.67646779945488,2
1,73.82364937951331,13
1,70.72319376513839,11
0,40.731711137203845,7
1,71.98309530021048,2
0,70.44177315255037,14
1,67.29774498205333,16
0,61.557644858061735,1
1,63.406330967663514,14
1,63.01263944583905,13
1,88.52756685926357,12
0,76.83952506679825,6
1,80.74127934266924,28
1,74.63863573435276,30
1,79.66425706105441,5
1,60.846506526075586,16
0,90.76693264581529,8
0,78.77496479635036,0
1,86.66508040749717,13
1,71.23485368731889,13
0,76.70917692464224,6
1,80.43410889015261,7
0,71.34626193507563,0
1,58.17620509110064,19
0,74.83127403987612,9
0,91.60015430452836,10
1,80.51516292069272,19
1,58.118955049710195,10
1,77.32228991381326,18
0,84.62017185468679,4
1,77.2067921422534,20
1,62.91041563891553,14
0,53.67177212206249,9
0,87.4966789551626,2
0,76.47736658752096,13
1,113.91396476426047,15
1,79.85906327744087,17
1,82.37454836050158,11
0,62.91574771093762,13
1,80.22551828540946,20
0,96.79361849670083,14
1,75.05332895915879,10
1,68.79582444656103,18
0,47.914596854635725,6
1,71.51357762618645,13
0,36.33844869453249,8
1,79.45780219518294,13
0,84.01341470351998,12
0,55.18189793496059,0
1,63.40980230908331,10
0,66.83092062472709,2
1,43.18974683469685,18
0,51.580384976942256,1
1,62.18934984951596,6
1,52.87444449763446,16
1,79.13878261114087,21
1,78.39631323120221,11
0,68.82684912036328,7
0,78.57381367722913,3
1,47.213597817403944,16
0,69.93148779799147,8
1,71.76319757037801,5
1,71.2439405475036,23
1,64.39435585306333,14
1,69.50105112287014,19
1,82.54210778670212,19
0,64.93786152738504,0
0,45.84442908897252,14
1,65.6036907425006,12
1,63.90116881813749,10
0,51.739200539754314,8
0,75.74875681813121,17
1,83.75888635153207,23
0,82.58233717734083,-6
0,75.74586869153138,4
0,73.31638831039575,6
1,49.30846102823985,12
1,56.17135480888297,10
0,81.62352732012017,3
1,45.41224823994799,9
0,60.64910745867017,13
1,88.82318252832167,16
0,52.79864246459567,0
1,72.51409564358774,16
0,85.33457843935632,13
0,54.198464803473684,4
1,40.620239227043406,21
1,52.67425223265446,8
1,74.18227888562801,13
0,63.897695314591516,19
0,88.76683614862775,6
0,89.12917296764749,0
1,54.741173438950106,23
0,77.78320328281308,5
1,70.81823773802738,20
0,76.5116197170484,6
0,62.67148119632357,-1
1,58.65318463382279,24
1,65.44076186240282,15
0,83.52018263204016,-1
0,70.78765439540402,13
0,75.87361205445809,7
1,77.48562086875235,27
0,74.26841959607634,13
0,65.76365098904677,8
1,50.69857797150734,7
1,71.40721492413604,7
1,79.15701591686442,14
0,73.69171916021435,-1
1,63.41513201281118,16
0,88.43704191706047,12
1,61.355527240187854,18
0,82.3320583887353,14
1,88.37038659218933,20
1,82.67744063364574,18
0,83.3411175062861,4
0,75.87664762430049,2
0,64.87611721840092,5
1,50.54755482375059,15
1,76.14826843156932,22
0,78.13456208834418,5
1,50.962050732555255,10
1,100.98711705567284,10
1,81.49110422497517,9
1,79.9276477867397,10
1,76.918227787611,25
1,73.53272139253124,21
0,83.24817933543403,7
0,79.46781804035602,9
1,58.49243557166449,14
0,71.62784506911986,1
0,81.28271600564992,0
0,68.50147431907,7
1,91.68623422672206,19
1,82.5190813783942,21
0,80.83386354762534,3
0,80.23586617938945,9
0,87.42608368431362,0
1,35.68006315462455,17
0,49.117689640713415,4
1,65.82916610480537,17
1,55.86150579011746,7
0,61.77778746416448,6
1,56.41425544057317,14
0,38.85630852347275,4
1,77.62562913183834,20
1,84.75640401569166,18
0,70.37768073050243,10
0,53.981180078754846,14
1,58.64056335588535,10
1,89.9172362232405,20
1,65.20677317460871,6
0,88.66442090896213,5
1,79.68874627488964,9
0,88.75949948141589,2
1,78.91775583144184,17
1,73.40833851537741,20
0,69.41371338229943,9
1,60.94678292906666,20
0,66.30476367774314,11
0,73.81099152491764,6
1,61.41138510685232,18
1,83.84604865076135,14
1,70.61874949276073,10
0,79.49982174476472,11
1,81.93755987951997,13
0,47.916729363730724,-1
1,81.5058592865894,7
0,71.81369582800997,8
1,88.42000962990623,15
1,71.51095108454341,13
1,70.56889906761009,17
1,54.70227067347674,13
1,43.395838152460925,13
0,72.66250148131802,0
1,71.92439888440559,17
1,66.14656807853683,22
0,93.53445739609943,1
1,70.13924554079193,11
0,71.92936665913035,9
1,99.34876341591307,18
0,68.49455131862277,10
1,60.327708047901496,12
0,115.62823396330239,7
0,87.58078817947015,3
0,101.54699524626926,7
1,66.23199300923694,9
1,79.8094144496706,16
0,91.92205517611855,0
0,62.44966289617854,16
0,66.98757454711613,-1
0,63.55724068887692,6
1,86.20360817677248,21
1,66.52854183244001,14
0,62.940323051099014,9
0,58.36400377427498,1
0,67.39602972306045,11
0,89.34989600533173,12
0,47.76379920981633,12
0,81.09730055241727,4
1,82.62116594463224,22
1,70.48793347034028,17
0,63.87628846399449,7
1,64.94147433738071,12
0,93.9200823743998,10
1,89.3874417765555,18
1,81.46883941829142,13
1,78.8686328933023,11
1,61.64680989573264,15
0,47.473518351151895,0
1,64.30436006881818,20
0,74.30501605355487,11
0,80.83822121862936,12
0,45.84903651541107,4
1,51.05170928716716,30
1,53.66715696157316,18
0,83.04468052599782,14
1,69.8157131634781,19
0,68.35599186805639,12
0,52.44615005421219,3
0,77.07774995327549,13
1,63.442476738258826,13
1,57.67096301409239,8
1,56.25180895290975,15
1,59.928257132986694,23
0,87.92548965803866,11
0,62.77319255922366,8
1,52.105915430388734,10
0,68.0145963691366,12
1,78.76188999082706,17
1,49.40865531304118,11
0,75.29171079213783,10
0,28.50410158561128,4
1,79.48725830220974,10
0,76.7190032551126,7
1,44.67277947025504,17
1,65.41146383438762,10
0,75.39216079761731,15
0,86.541994718816,3
1,78.38663630888969,18
0,63.96658993717502,3
